bundle,provider,model,max_tokens,timeout_seconds,reasoning_effort,git_commit,incident_id,pattern,run_number,status,model_calls,tool_calls,input_tokens,output_tokens,total_tokens,latency_ms,unsupported_count,proposed_count,causality_overclaims,grounding_ratio,uncertainty_language_detected,trajectory,retry_after,error
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-002,evaluator-optimizer,1,ok,4,0,4997,3402,8399,36347.568,0,1,0,1.0,True,generate -> evaluate:1 -> revise:1 -> evaluate:2 -> quality-pass,,
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-002,agent,1,ok,2,5,2955,1382,4337,16766.507,0,2,0,1.0,True,get_service_metrics -> get_recent_deployments -> get_dependencies -> search_runbook -> get_previous_incidents -> final-answer,,
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-002,augmented,1,ok,1,0,559,995,1554,11668.196,0,0,0,1.0,True,load-evidence -> model-analysis,,
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-003,routing,1,ok,2,0,803,1126,1929,13232.86,2,0,0,0.875,True,classify -> route:dependency -> model-analysis,,
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-003,parallel,1,ok,4,0,3915,5617,9532,43248.0,2,0,2,0.8,True,fan-out:3 -> fan-in -> aggregate,,
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-003,evaluator-optimizer,1,ok,4,0,4893,3445,8338,37282.906,0,0,0,1.0,True,generate -> evaluate:1 -> revise:1 -> evaluate:2 -> quality-pass,,
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-003,agent,1,ok,2,5,2890,1331,4221,16925.235,2,0,0,0.8333,True,get_service_metrics -> get_recent_deployments -> get_dependencies -> search_runbook -> get_previous_incidents -> final-answer,,
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-003,augmented,1,ok,1,0,499,1057,1556,11397.496,0,0,1,1.0,True,load-evidence -> model-analysis,,
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-003,chaining,1,provider_error,,,,,,,,,,,,,,Anthropic request failed
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-004,parallel,1,ok,4,0,4336,5575,9911,38895.128,0,1,1,1.0,True,fan-out:3 -> fan-in -> aggregate,,
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-004,evaluator-optimizer,1,ok,2,0,1793,1120,2913,12824.192,0,0,0,1.0,True,generate -> evaluate:1 -> quality-pass,,
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-004,agent,1,ok,2,5,2955,1542,4497,18686.611,0,0,0,1.0,True,get_service_metrics -> get_recent_deployments -> get_dependencies -> search_runbook -> get_previous_incidents -> final-answer,,
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-004,augmented,1,ok,1,0,529,1086,1615,11987.207,0,1,0,1.0,True,load-evidence -> model-analysis,,
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-004,chaining,1,ok,3,0,2793,3409,6202,36614.362,2,0,3,0.7143,True,extract-facts -> assess -> recommend,,
anthropic,anthropic,claude-sonnet-5,4000,60.0,,bc75739c3eb2949f5f8925cc000ea64af320574d,INC-004,routing,1,ok,2,0,864,1329,2193,16216.495,0,0,0,1.0,True,classify -> route:performance -> model-analysis,,
